ID;Domanda;Opzione A;Opzione B;Opzione C;Opzione D;Corretta;Spiegazione/Fonte
735;Interesse (usura)?;10%;Vietato tra fratelli;Solo viveri;Permesso;B;Solidarietà [319].
736;Chi guidò la rivolta 167?;Davide;Giosuè;Mattatia (Maccabei);Simone;C;Contro Epifane [320, 321].
737;Significato "Maranà-thà"?;Aiuto;Vieni Signore;Qui;Pace;B;Invocazione NT [120, 259].
738;Chi trovò il libro (622)?;Geremia;Chelkia;Esdra;Safan;B;Sacerdote [322, 323].
739;Monte trasfigurazione?;Sinai;Tabor;Oliveto;Carmelo;B;Davanti ai tre [324, 325].
740;Confessione Tommaso?;Signore;Maestro;Mio Signore e mio Dio;Grazie;C;Gv 20 [263, 264].
741;Significato "Biblo"?;Dio;Sacro;Porto del papiro;Legge;C;Porto fenicio [326, 327].
742;Diatheke in latino?;Morte;Testamentum;Legge;Eredità;B;Alleanza [328].
743;Materiale 60 pecore?;Papiro;Pergamena;Carta;Ostraca;B;Un codice [211, 212].
744;Saggi vocali ebraico?;Masoreti;Settanta;Scribi;Copisti;A;Testo masoretico [3, 210].
745;P52 risale a?;I sec;125 d.C.;IV sec;XV sec;B;Gv 18 [132, 158].
746;Capitoli introdotti nel?;I sec;XIII sec;XVI sec;IV sec;B;Medioevo [133, 134].
747;Versetti (1528) da?;Girolamo;Sante Pagnini;Lutero;Damaso;B;Numerazione [133, 135].
748;Deuterocanonici sono?;5;7;12;27;B;Soli cattolici [253, 254].
749;Apòkryphos?;Falso;Nascosto/Segreto;Eretico;Perso;B;Non canonico [199, 329].
750;Inerranza garantisce?;Scienza;Verità salvezza;Storia;Geografia;B;Fede [155, 214].
751;Pentateuco (etimo)?;5 rotoli;5 leggi;5 storie;5 fratelli;A;Cinque astucci [330, 331].
752;Giosuè - Etimo?;Dio è con noi;Jhwh salva;Pace;Re;B;Successore Mosè [1, 332].
753;Chi uccise Sisara?;Debora;Giaele;Rut;Noemi;B;Con un piolo [223, 333].
754;Chi era Anna?;Regina;Donna sterile (Samuele);Profetessa;Giudice;B;Madre [225, 334].
755;Chi era Eli?;Sacerdote Silo;Re;Profeta;Guerriero;A;Custode Samuele [174].
756;Arma Davide vs Golia?;Spada;Fionda/5 ciottoli;Arco;Scudo;B;Fede [17, 335].
757;Capitale conquistata?;Sichem;Gerusalemme (Sion);Samaria;Dan;B;Gebusei [24, 336].
758;Profeta vs Davide?;Samuele;Natan;Gad;Elia;B;Peccato Uria [25, 337].
759;Re che costruì Tempio?;Davide;Salomone;Giosia;Ezechia;B;I Re [23, 338].
760;Anno Scisma?;1000;931 a.C.;722;587;B;Dopo Salomone [26, 339].
761;Chi è il "Proto-Isaia"?;1-39;40-55;56-66;24-27;A;Pre-esilio [340].
762;Chi è il "Deutero-Isaia"?;1-39;40-55;56-66;1-12;B;Esilio [341].
763;Chi è il "Trito-Isaia"?;1-39;40-55;56-66;34-35;C;Post-esilio [342].
764;Gesto Geremia (giogo)?;Spezzò;Indossò giogo;Nudo;Teglia;B;Sottomissione [280].
765;Ossa inaridite (Ez)?;Morte;Rinascita Israele;Fine;Gog;B;Speranza [244, 245].
766;Sinottici?;Mt-Mc-Lc;Gv-Lc;Mc-Gv;Tutti;A;Sguardo d'insieme [69, 343].
767;Simbolo Matteo?;Angelo/Uomo;Leone;Bue;Aquila;A;Genealogia [71, 344].
768;Simbolo Marco?;Uomo;Leone;Bue;Aquila;B;Deserto [73, 345].
769;Simbolo Luca?;Leone;Bue;Uomo;Aquila;B;Mansuetudine [71, 346].
770;Simbolo Giovanni?;Uomo;Leone;Bue;Aquila;D;Altezza Logos [71, 347].
771;Gesù "Logos"?;Matteo;Marco;Luca;Giovanni;D;Prologo [77, 78].
772;Autore Atti?;Paolo;Pietro;Luca;Giovanni;C;Opera lucana [79, 348].
773;Nome "Cristiani" a?;Gerusalemme;Roma;Antiochia;Efeso;C;Atti 11 [81, 82].
774;Conversione Paolo su?;Gerico;Damasco;Tempio;Roma;B;Via di... [85].
775;Giustificazione (Rm)?;Opere;Fede in Cristo;Circoncisione;Sacrifici;B;Grazia [90, 349].
776;Inno Carità (cap)?;1 Cor 13;Rm 8;Gal 5;Ef 1;A;Virtù più grande [92, 350].
777;Onesimo nome?;Libero;Caro;Utile;Forte;C;Da inutile [100, 101].
778;Melchisedek?;Aronne;Mosè;Re-Sacerdote;Abramo;C;Figura Cristo [351, 352].
779;Fede e Opere?;Giovanni;Giacomo;Pietro;Giuda;B;Lettera [104, 105].
780;Definizione Dio (Amore)?;1 Gv;1 Pt;Rm;Gc;A;Lettera [108, 109].
781;Apokalypsis (etimo)?;Fine;Rivelazione;Terremoto;Fuoco;B;Svelamento [110, 111].
782;Redenti (Ap)?;1000;12000;144.000;7000;C;Simbolico [116, 117].
783;Bestia mare persecuzione?;Leone;Bestia sale mare;Agnello;Drago;B;Impero [118, 353].
784;Sede di Giovanni?;Gerusalemme;Roma;Efeso;Antiochia;C;Tradizione [354].
785;Papiro antico NT?;Vaticano;P52;Vulgata;Aleppo;B;Frammento Gv [355, 356].
786;Citazioni AT in NT?;100;200;304;500;C;Statistica Murdocca [122, 123].
787;Libro AT più citato?;Genesi;Isaia;Salmi;Levitico;B;Statistica [124, 125].
788;Inerranza DV?;Scienza;Verità salvifica;Cronologia;Storia;B;Vat II [87, 137].
789;73 libri sono?;Ebraica;Cattolica;Protestante;Gnosa;B;Canone [138, 139].
790;Girolamo tradusse?;Vulgata;Settanta;P52;Sinaitico;A;In Latino [140, 141].
791;7 livelli Alleanza?;Murdocca;Ravasi;Ghidelli;Sisti;A;Piramide [2, 215].
792;Diatesseron di Taziano?;Commento;Sintesi 4 Vangeli;Critica;Traduzione;B;160 d.C. [357, 358].
793;Ciro Messia?;Dario;Serse;Ciro;Artaserse;C;Libertà esuli [33, 359].
794;Culda profetessa?;Debora;Culda;Anna;Ester;B;Riforma Giosia [360, 361].
795;Sennacherib assediò?;Ezechia;Davide;Salomone;Manasse;A;Re assiro [71, 191].
796;Etimologia Adam?;Primo;Umanità/Uomo terra;Re;Amico;B;Adamah [21, 217].
797;Arameo errante?;Shema;Mio padre Arameo errante;Decalogo;Credo;B;Piccolo credo [362, 363].
798;Custode Caino?;Morto;Non so;Sono forse il custode?;No;C;Abele [227, 228].
799;4 fiumi Eden?;1;2;4;7;C;Genesi [229, 230].
800;Arcobaleno alleanza?;Adamo;Noè;Abramo;Mosè;B;Dopo Diluvio [195, 196].
801;Chi ha curato Matteo (SP)?;Martini;Angelo Lancellotti;Ghidelli;Sisti;B;San Paolo [128].
802;Cosa significa Paraclito?;Giudice;Intercessore/Assistente;Messia;Sacerdote;B;Gv 14 [76, 293].
803;Riferimenti AT in NT?;100;200;304;500;C;Statistica finale [122].
804;Adamo con articolo?;Primo uomo;Umanità/L'Uomo;Maschio;Padre;B;Ebraico [270].
805;Formazione uomo (Gb)?;Pietra;Latte colato/Formaggio;Soffio;Oro;B;Metafora Gb 10 [364].
806;Fine 2 Maccabei?;Preghiera;Amen;Vino mescolato acqua;Fine;C;Metafora diletto [365].
807;Significato Pur?;Puro;Sorte/Dado;Libertà;Preghiera;B;Festa Purim [51, 52].
808;Giovane in Giobbe?;Elifaz;Bildad;Zofar;Eliu;D;Discorso finale [40, 366].
809;Segno giustiVisione Ez?;Croce;Cerchio;Tau;Stella;C;Ultima lettera [65, 66].
810;Funzionario mura?;Esdra;Zorobabele;Neemia;Mardocheo;C;Coppiere [34, 35].
811;Porto fenicio papiro?;Tiro;Sidone;Gebal (Biblo);Arvad;C;Origine nome [144, 326].
812;Inerranza riguarda?;Scienza;Cronologia;Verità salvezza;Grammatica;C;Dei Verbum [87, 155].
813;Sezioni Salmi?;3;5;7;12;B;Libri Salterio [367, 368].
814;Discepolo amato?;Pietro;Giovanni (tradiz);Giacomo;Andrea;B;Sotto la croce [369, 370].
815;Numero redenti (Ap)?;12000;1000000;144.000;7000;C;Pienezza simbolica [116, 117].
816;Autore Ebrei?;Paolo;Pietro;Ignoto (Apollo?);Luca;C;Non paolina [371, 372].
817;Re scudi bronzo?;Roboamo;Asa;Giosafat;Ezechia;A;Persi scudi oro [373, 374].
818;Profeta Chebar?;Isaia;Geremia;Ezechiele;Daniele;C;Carro Cherubini [284, 285].
819;Glossolalia?;Traduzione;Lingue (estasi);Scrittura;Esegesi;B;1 Cor 14 [94, 95].
820;Melchisedek tipo?;Aronne;Mosè;Messia re/sacerdote;Abramo;C;Ebrei 7 [351, 352].
821;Isola visions?;Cipro;Creta;Patmos;Malta;C;Giovanni [112, 113].
822;Via più alta?;Fede;Speranza;Carità;Sapienza;C;Inno 1 Cor 13 [93, 375].
823;Schiavo Onesimo?;Tichico;Onesimo;Epafra;Marco;B;Lettera Filemone [100, 101].
824;Hanukkah festa?;Pasqua;Pentecoste;Dedicazione;Capanne;C;Maccabei [246, 247].
825;Fiele pesce guarì?;Tobi;Tobia;Sara;Gabael;A;Cecità di Tobi [376, 377].
826;Messia Ciro?;Dario;Serse;Ciro;Artaserse;C;Editto 538 [33, 359].
827;Pelli 60 pecore?;Papiro;Pergamena;Ostraca;Legno;B;Costo codice [211, 212].
828;Euanghèlion?;Legge;Buona Notizia;Santo;Visione;B;Greco [67, 68].
829;Nome Cristiani?;Gerusalemme;Roma;Antiochia;Efeso;C;Atti 11 [81, 82].
830;Stefano protomartire?;Giacomo;Pietro;Stefano;Paolo;C;Lapidato [83, 84].
831;P52?;Vaticano;Papiro 52 (Gv);Vulgata;Aleppo;B;Antico NT [15, 132].
832;Riforma 622?;Ezechia;Giosia;Davide;Salomone;B;Giosia [28, 29].
833;Samuele nome?;Forte;L'ho domandato al Signore;Pace;Servo;B;Memoria Anna [13, 14].
834;Caleb entrò?;Aronne;Caleb;Finees;Eleazaro;B;Con Giosuè [378, 379].
835;Sinai Monte?;Tabor;Carmelo;Sinai (Oreb);Nebo;C;Patto Legge [205, 380].
836;Anni deserto?;7;12;40;70;C;Punizione [72, 381].
837;Circoncisione?;Arcobaleno;Sabato;Circoncisione;Manna;C;Segno Abramo [380, 382].
838;Leone Marco?;Uomo;Leone;Bue;Aquila;B;Simbolo [71, 345].
839;Bue Luca?;Leone;Bue;Uomo;Aquila;B;Mansuetudine [71, 346].
840;Aquila Giovanni?;Uomo;Leone;Bue;Aquila;D;Teologia Logos [71, 347].
841;Vulgata tradotta?;Agostino;Girolamo;Ambrogio;Damaso;B;Latino [23, 141].
842;Libri 73?;66;73;46;27;B;Bibbia Cattolica [138, 139].
843;Lingua NT?;Ebraico;Aramaico;Greco (Koinè);Latino;C;Comune [383, 384].
844;Sinottici?;Mt-Gv;Mt-Mc-Lc;Lc-Gv;Mc-Gv;B;Synopsis [343, 385].
845;Risurrezione Lazzaro?;Pani;Lebbrosi;Lazzaro;Tempesta;C;Giovanni 11 [261, 262].
846;Speranza 1 Pt?;Fede;Speranza;Giustizia;Sapienza;B;Virtù base [106, 107].
847;Dio è Amore?;Forza;Legge;Amore;Giudice;C;1 Giovanni [108, 109].
848;Testamento (etimo)?;Volontà;Alleanza/Patto;Libro;Legge;B;Diatheke [305, 386].
849;Re Sisach d'Egitto?;Roboamo;Abia;Asa;Giosafat;A;Invasione [387, 388].
850;Martini curò?;Matteo;Atti;Luca;Marco;B;San Paolo [128, 129].
851;Monte sacrificio Isacco?;Sinai;Tabor;Moria;Carmelo;C;Isacco [122, 231].
852;Cronache storia?;Militare;Storia sacra (tesi);Biografica;Scienza;B;Prospettiva [389, 390].
853;Figli Giuseppe?;12;2;3;Nessuno;B;Efraim e Manasse [170, 238].
854;Cordone scarlatto?;Agnello;Filo scarlatto;Croce;Olivo;B;Raab Gerico [4, 391].
855;Donna Debora?;Rut;Giaele;Debora;Noemi;C;Giudice [9, 392].
856;Nazireato (Sansone)?;Povertà;No taglio/No vino/No impuro;Silenzio;Digiuno;B;Voto [393, 394].
857;Profeta Natan?;Samuele;Natan;Gad;Michea;B;Patto Davidico [395, 396].
858;Salomone costruì?;Davide;Salomone;Giosia;Ezechia;B;Tempio [23, 338].
859;Biblo porto?;Tiro;Sidone;Gebal;Arvad;C;Papiro [144, 327].
860;Lingua Sapienza?;Ebraico;Aramaico;Greco;Latino;C;Ellenistica [257, 397].
861;Pane Eucaristia?;Cronologia;Frazione del pane;Genealogia;Filologia;B;Chiave [277, 398].
862;Settimo livello Alleanza?;Sinai;Davide;Messia re/sacerdote;Apocalisse;C;Murdocca [20, 215].
863;Sofferenza medicinale?;Maledizione;Castigo medicinale;Errore;Illusione;B;Eliu [399, 400].
864;Significato qadôsh?;Puro;Perfetto;Separato;Onnipotente;C;Santo [401, 402].
865;Veggeante Canani?;Roboamo;Asa;Ezechia;Giosia;B;Rimproverò Asa [403, 404].
866;Salmo 51 (Miserere)?;1;23;51;110;C;Pentimento Davide [405, 406].
867;Neemia 12 anni?;Esdra;Zorobabele;Neemia;Mardocheo;C;Governatorato [407, 408].
868;Onesimo significa?;Libero;Caro;Utile;Forte;C;Paolo Filemone [100, 101].
869;Anticristo (Gv)?;Re;Chi nega Incarnazione;Demone;Soldato;B;Lettere [273, 274].
870;Maranà-thà (NT)?;Amen;Abba;Maranà-thà;Hosanna;C;Invocazione [120, 409].
871;Successore Mosè?;Aronne;Caleb;Giosuè;Samuele;C;Giosuè [410, 411].
872;Peccato anatema?;Giosuè;Acan;Caleb;Finees;B;Sconfitta Ai [172, 173].
873;Giaele uccise?;Debora;Rut;Giaele;Giuditta;C;Sisara [10, 412].
874;Israele chiese un re?;Amore;Per essere come altri;Guerra;Comando;B;1 Sam 8 [13, 413].
875;Cetra Davide?;Flauto;Cetra/Arpa;Tamburello;Tromba;B;Calmava Saul [414, 415].
876;Golia battuto con?;Spada;Fionda e 5 ciottoli;Arco;Scudo;B;Fede [335, 416].
877;Masoreti aggiunsero?;Sacerdoti;Vocali testo ebraico;Soldati;Traduttori;B;Fissazione [3, 417].
878;Etimologia Adam?;Primo;Umanità;Amico;Re;B;Uomo di terra [217, 418].
879;40 anni manna?;7 anni;12 anni;40 anni;100 anni;C;Sostentamento [207, 419].
880;Missione ai pagani?;Gerusalemme;Roma;Antiochia;Efeso;C;Centro irradiante [81, 420].
881;Bestia mare persecutrice?;Leone;Bestia sale mare;Agnello;Aquila;B;Apocalisse [118, 353].
882;Magnificat in?;Matteo;Marco;Luca;Giovanni;C;Cantico Maria [421, 422].
883;Ultimo libro AT?;Malachia;Siracide;Sapienza;Daniele;C;I sec a.C. [255, 256].
884;Festa Purim (Ester)?;Pasqua;Purim;Capanne;Pentecoste;B;Salvezza [51, 423].
885;Stefano lapidato?;Giacomo;Pietro;Stefano;Paolo;C;Martire [83, 298].
886;Biblo porto papiro?;Tiro;Biblo;Sidone;Gaza;B;Porto fenicio [326, 424].
887;Vieni Signore?;Dio aiuto;Vieni, Signore!;Qui;Pace;B;Maranà-thà [20, 259].
888;Monte trasfigurazione?;Sinai;Tabor;Oliveto;Carmelo;B;Luca 9 [324, 425].
889;Apocalisse pseudonimo?;Paolo;Luca;Giovanni;Pietro;C;Isola Patmos [426, 427].
890;Lazzaro simbolo?;Cana;Risurrezione Lazzaro;Cieco;Pani;B;Gv 11 [261, 428].
891;Zaccheo capo?;Fariseo;Capo pubblicani;Discepolo;Centurione;B;Luca 19 [296, 297].
892;Autore Atti?;Paolo;Pietro;Luca;Giovanni;C;Secondo libro [80, 348].
893;Giovanni "Io Sono"?;Matteo;Marco;Luca;Giovanni;D;Gesù divinità [429, 430].
894;Gerusalemme Davide?;Sichem;Gerusalemme;Samaria;Dan;B;Strappata ai Gebusei [24, 431].
895;Saul primo re?;Davide;Saul;Salomone;Giosia;B;Unto Samuele [13, 432].
896;Anna madre Samuele?;Rachele;Anna;Sara;Rebecca;B;Donna sterile [225, 334].
897;Anni Sansone Giudice?;40;10;20;7;C;Venti anni [433, 434].
898;Miracolo Gabaon?;Eclissi;Sole e luna fermi;Fuoco;Cometa;B;Giosuè [5, 435].
899;Giosuè morì a?;100;110;120;80;B;Efraim [4, 436].
900;Piccolo credo d'Israele?;Shema;Mio padre era Arameo errante;Decalogo;Kaddish;B;Dt 26 [362, 363].
901;Risposta Caino?;Morto;Non so;Sono forse io il custode?;Perdono;C;Abele [227, 228].
902;Eden dividendosi in 4?;Giordano;Nilo;Senza nome;Tevere;C;Pison/Ghicon/Tigri/Eufrate [229, 230].
903;Gerusalemme caduta (anno)?;722;63 a.C.;587 a.C.;538 a.C.;C;Nabucodonosor [30, 31].
904;Giosia consultò?;Debora;Culda;Anna;Giuditta;B;Profetessa [360, 361].
905;Ezechia assediato da?;Salmanassar;Sennacherib;Nabucodonosor;Ciro;B;Assiro [71, 191].
906;Potere politico bestia?;Terremoto;Bestia sale mare;Morte;Mare;B;Apocalisse [118, 119].
907;Inno Kenosi (Fil)?;Carità;Inno Cristologico;Creazione;Lode;B;Svuotamento [99, 437].
908;Onesimo utile?;Libero;Caro;Utile;Forte;C;Filemone [100, 438].
909;Chiesa Efesini?;Gregge;Corpo e Sposa di Cristo;Fortezza;Vigna;B;Capo/Corpo [439, 440].
910;Spina nella carne?;Peccato;Infermità fisica;Corona;Nemico;B;Paolo [96, 97].
911;Vasi di creta?;Principi;Vasi di creta;Padroni;Angeli;B;Apostoli 2 Cor [96, 441].
912;Carità 1 Cor 13?;Profezia;Lingue;Carità;Sapienza;C;Più grande [92, 350].
913;Giustificazione (Rm)?;Opere;Fede in Gesù Cristo;Circoncisione;Sacrifici;B;Grazia [90, 349].
914;Rinascita Israele?;Fine;Rinascita d'Israele;Giudizio;Sconfitta;B;Ez 37 [244, 442].
915;Nuova Alleanza (Ger)?;Distruzione;Nuova Alleanza;Ritorno;Morte;B;Cuori [61, 62].
916;Anatòt Geremia?;Gerusalemme;Anatòt;Betlemme;Samaria;B;Origine [19, 278].
917;Servo di Isaia?;Trionfante;Uomo dei dolori/disprezzato;Sapiente;Angelo;B;Passione [58, 443].
918;Nudo per 3 anni?;Isaia;Geremia;Ezechiele;Daniele;A;Egitto/Etiopia [444, 445].
919;Geroboamo primo re?;Nord;Sud;Egitto;Persia;A;Israele [27].
920;Roboamo scisma?;Davide;Roboamo;Geroboamo;Asa;B;Giogo pesante [185, 186].
921;Alessandro Magno (anno)?;538;63;333 a.C.;164;C;Occupazione [446, 447].
922;Taziano - Diatesseron?;Commento;Sintesi 4 Vangeli;Critica;Traduzione;B;Armonia [357, 358].
923;Re Sedecia deportato?;Ioiachin;Ioiakim;Sedecia;Ezechia;C;Accecato [448, 449].
924;Rimozione negromanti?;Davide;Salomone;Saul;Giosia;C;Iniziale [450, 451].
925;Giaele uccise Sisara?;Debora;Rut;Giaele;Giuditta;C;Piolo [333, 452].
926;Ciro editto (anno)?;538 a.C.;333;63;164;A;Ritorno [33, 453].
927;Pompeo conquista?;164;333;63 a.C.;70 d.C.;C;Romani [127, 454].
928;Emanuele significa?;Forte;Dio con noi;Salva;Luce;B;Isaia/Matteo [455, 456].
929;Maccabei - Mattatia?;Davide;Giosuè;Mattatia;Simone;C;167 a.C. [320, 457].
930;Passaggio Mar Rosso?;Ebrei;Filistei;Assiri;Greci;A;Esodo [458, 459].
931;Distruzione Tempio II?;63;135;70 d.C.;313;C;Tito [460, 461].
932;Jhwh salva (nome)?;Forte;Jhwh salva;Pace;Nun;B;Giosuè [1, 332].
933;Capitoli Bibbia (secolo)?;II;XIII;XVI;IV;B;Medioevo [134, 462].
934;Lotta guado Iabbok?;Abramo;Isacco;Giacobbe;Giuseppe;C;Israele [201, 202].
935;Pentateuco (etimo)?;Leggi;5 rotoli;Storie;Fratelli;B;Tôrah [331, 463].
936;Bet-Sean (Gelboe)?;Gerusalemme;Bet-Sean;Ebron;Rama;B;Morte Saul [464, 465].
937;Elia vs Baal?;Eliseo;Elia;Isaia;Amos;B;Carmelo [187, 188].
938;Salomone sapienza?;Saul;Davide;Salomone;Ezechia;B;Gabaon [183, 184].
939;Giosuè successore?;Aronne;Caleb;Giosuè;Samuele;C;Mosè [410, 466].
940;Giona inghiottito?;Osea;Giona;Amos;Michea;B;Pesce [467, 468].
941;Gebal porto?;Tiro;Biblo;Sidone;Gaza;B;Papiro [469, 470].
942;Pergamena pelle?;Papiro;Pergamena;Ostraca;Legno;B;Resistente [471, 472].
943;Versetti numerati (anno)?;XIII;1528;II;IV;B;Sante Pagnini [135, 473].
944;Tribù senza terra?;Giuda;Beniamino;Levi;Efraim;C;Sacerdoti [474, 475].
945;Servo sofferente (Is)?;Geremia;Ezechiele;Isaia;Daniele;C;Carme [57, 476].
946;Scisma regno (anno)?;1200;1100;931 a.C.;600;C;Morte Salomone [26, 477].
947;Chelkia trovò libro?;Geremia;Chelkia;Esdra;Safan;B;622 [322, 323].
948;Apocalisse autore?;Paolo;Luca;Giovanni;Pietro;C;Patmos [478, 479].
949;Ciro sconfisse (anno)?;538;539 a.C.;333;63;B;Babilonia [480, 481].
950;Lidia convertita?;Damaris;Lidia;Prisca;Febe;B;Europa/Filippi [482, 483].
951;Livello V Alleanza?;Abramo;Sinai;Tribù di Levi;Davide;C;Murdocca [484, 485].
952;Cronista - Storia?;Militare;Storia sacra;Biografica;Scienza;B;Tesi [486, 487].
953;Israele significa?;Dio grande;Uomo contende con Dio;Terra;Amico;B;Lotta [488, 489].
954;Simeone in Egitto?;Ruben;Giuda;Simeone;Beniamino;C;Trattenuto [236, 237].
955;Angelo fermò Abramo?;Pioggia;Angelo del Signore;Soldati;Pianto;B;Isacco [125, 490].
956;40 anni deserto?;7;12;40;100;C;Israele [491, 492].
957;Arca contenuto?;Manna;Olio;Testimonianza (Decalogo);Vesti;C;Tavole [493, 494].
958;Sacrificio gradito (Lv)?;Tori;Amore/Preghiera;Digiuno;Danza;B;Adesione [128, 495].
959;Vita o Morte (Dt)?;Guerra;Vita e bene/Morte e male;Ricchezza;Esilio;B;Scelta [496, 497].
960;Sichem Assemblea?;Gerusalemme;Gerico;Sichem;Ebron;C;Rinnovo [498, 499].
961;Anna sterile madre?;Rachele;Anna;Sara;Rebecca;B;Samuele [500, 501].
962;Tesi amici Giobbe?;Dio errore;Sofferenza è punizione;Casuale;Dono;B;Retribuzione [502, 503].
963;Kenosi Svuotamento?;Carità;Sapienza;Kenosi;Creazione;C;Fil 2 [35, 260].
964;Rivelazione (etimo)?;Fine;Distruzione;Rivelazione;Terremoto;C;Apoc [111, 504].
965;Settimo giorno?;Sesto;Settimo;Primo;Ottavo;B;Sabato [505, 506].
966;Abramo partenza (età)?;50;75;99;100;B;Carran [507, 508].
967;Ismaele figlio di?;Isacco;Ismaele;Set;Esaù;B;Agar [509, 510].
968;10 giusti per Sodoma?;100;12;Fino a 10;1;C;Trattativa [511, 512].
969;Lenticchie Esaù?;Denaro;Odio;Minestra lenticchie;Cavallo;C;Primogenito [232, 233].
970;Giacobbe visione scala?;Roveto;Scala cielo;Carro;Vacche;B;Betel [234, 235].
971;Iabbok lotta?;Betel;Sichem;Guado Iabbok;Sinai;C;Israele [513, 514].
972;Cisterna Giuseppe?;Giuda;Ruben;Simeone;Beniamino;B;Salvatore [147, 515].
973;Zafnat-Paneach?;Sacerdote;Governatore;Veggente;Ramses;C;Giuseppe [149, 150].
974;Beniamino coppa?;Ruben;Giuda;Beniamino;Persa;C;Sacco [151, 152].
975;Morte primogeniti piaga?;Locuste;Tenebre;Morte primogeniti;Grandine;C;X [159, 516].
976;600 carri Faraone?;100;600;1000;12;B;Esodo [161, 162].
977;Ietro consigliò?;Aronne;Giosuè;Ietro;Caleb;C;Giudici [163, 164].
978;I Comandamento?;Non uccidere;Onora padre;Non altri dèi;Sabato;C;Esodo 20 [165, 166].
979;50 anni giubileo?;7;10;50;100;C;Liberazione [167, 168].
980;Balaam benedisse?;Elia;Balaam;Samuele;Michea;B;Asina [170, 171].
981;2 esploratori?;12;7;2;3;C;Gerico [517, 518].
982;Herem Sterminio?;Benedizione;Votare allo sterminio;Sacrificio;Tregua;B;Anatema [519, 520].
983;Sansone morte?;Ehud;Otniel;Gedeone;Sansone;D;Con i nemici [521].
984;Silo Arca Eli?;Gerusalemme;Silo;Ebron;Sichem;B;Infanzia Samuele [522, 523].
985;Betlemme Davide?;Gerusalemme;Betlemme;Rama;Ebron;B;Origine [524, 525].
986;Pecorella del povero?;Pecora smarrita;Pecorella rubata;Vignaiolo;Seminatore;B;Natan [179, 526].
987;Neemia mura?;Esdra;Zorobabele;Neemia;Zaccaria;C;Riedificazione [527, 528].
988;Eliu giovane Gb?;Eli;Eliu;Giezi;Baruc;B;Medicinale [529, 530].
989;Speranza 1 Pt?;Fede;Speranza;Giustizia;Sapienza;B;Virtù base [50, 531].
990;Tau su fronte?;Croce;Cerchio;Tau;Stella;C;Ezechiele giusti [532, 533].
991;Martini Atti (SP)?;Lancellotti;Martini;Ghidelli;Sisti;B;Curatore [128, 534].
992;Ghidelli Luca (SP)?;Martini;Ghidelli;Sisti;Rossano;B;Curatore [128, 535].
993;P52 frammento?;Vaticano;Papiro 52;Vulgata;Sinaitico;B;Antico [132, 356].
994;Vieni Signore Gesù?;Aiuto;Vieni Signore Gesù;Pace;Amen;B;Maranà-thà [259, 377].
995;Patmos visionario?;Cipro;Creta;Patmos;Malta;C;Giovanni [112, 536].
996;Giuditta uccise?;Ester;Rut;Giuditta;Debora;C;Oloferne [537, 538].
997;Geroboamo primo re?;Nord;Sud;Egitto;Assiria;A;Scisma [6, 193].
998;Ciro editto 538?;Dario;Serse;Ciro;Artaserse;C;Ritorno [539, 540].
999;Samuele (significato)?;Forte;L'ho domandato al Signore;Pace;Re;B;Anna [14, 541].
1000;Ultima parola Bibbia?;Pace;Carità;Amen;Alleluia;C;Conclusione Apocalisse [121].
